robot_id,strategy,makespan,energy_used,charge_count,travel_total,waiting_total,charging_total,discharge_count,sequence
tb1,threshold,1058.35,71.01,1,191.02,0.00,385.64,0,41;36;22;8;17;c2;4;49;23;48
tb2,threshold,1427.24,70.35,1,231.15,193.72,538.24,0,13;29;35;28;24;34;c2;18;30;1
tb3,threshold,662.78,70.69,0,195.47,0.00,0.00,10,44;39;42;37;12;27;33;11;15;2
tb4,threshold,1222.59,74.82,1,212.85,0.00,524.53,0,32;25;16;38;31;43;20;9;c1;10;19;47;5
tb5,threshold,1224.94,73.00,1,164.06,0.00,543.74,0,3;21;50;40;45;46;c3;14;7;26;6
tb1,feasibility,1058.35,71.01,1,191.02,0.00,385.64,0,41;36;22;8;17;c2;4;49;23;48
tb2,feasibility,1797.66,70.58,1,210.47,537.49,585.57,0,13;29;35;28;24;34;18;c1;30;1
tb3,feasibility,662.78,70.69,0,195.47,0.00,0.00,10,44;39;42;37;12;27;33;11;15;2
tb4,feasibility,1251.85,73.88,1,201.45,0.00,565.18,0,32;25;16;38;31;43;20;9;10;c1;19;47;5
tb5,feasibility,1273.83,74.34,1,185.77,0.00,570.92,0,3;21;50;40;45;46;14;c3;7;26;6
tb1,optimized,1427.43,82.32,5,261.79,0.00,637.89,0,2;19;c1;34;5;30;c1;10;50;c1;31;c3;44;c3;4;40
tb2,optimized,473.85,50.05,0,129.97,0.00,0.00,0,27;33;25;21;28;15
tb3,optimized,1432.01,81.86,4,288.07,0.00,633.62,0,6;8;c2;43;1;11;c3;20;36;c3;32;49;c1;37;12
tb4,optimized,1468.56,101.63,2,350.31,15.51,467.98,0,26;14;c3;24;46;7;c2;41;13;38;3;22;23;48
tb5,optimized,972.81,67.07,2,257.60,5.75,310.70,0,29;45;c2;47;18;c2;39;16;17;42;9;35
