task_id,task_type,makespan_s,energy_wh
1,PICK_DROP,21.42,3.04
2,PICK_DROP,26.02,3.57
3,PICK_DROP,25.64,3.53
4,PICK_DROP,39.01,5.09
5,PICK_DROP,38.58,5.04
6,PICK_DROP,12.00,1.93
7,PICK_DROP,30.98,4.15
8,PICK_DROP,45.42,5.84
9,PICK_DROP,21.68,3.07
10,PICK_DROP,20.64,2.94
11,PICK_DROP,36.77,4.83
12,PICK_DROP,37.33,4.89
13,PICK_DROP,21.40,3.03
14,PICK_DROP,16.79,2.50
15,PICK_DROP,16.00,2.40
16,PICK_DROP,16.72,2.49
17,PICK_DROP,24.95,3.45
18,PICK_DROP,16.00,2.40
19,PICK_DROP,20.00,2.87
20,PICK_DROP,16.17,2.42
21,PICK_DROP,40.88,5.31
22,PICK_DROP,12.48,1.99
23,PICK_DROP,19.53,2.82
24,PICK_DROP,13.61,2.12
25,PICK_DROP,44.22,5.70
26,PICK_DROP,37.16,4.88
27,PICK_DROP,41.10,5.34
28,PICK_DROP,33.45,4.44
29,PICK_DROP,30.50,4.10
30,PICK_DROP,29.38,3.97
31,DUAL_PICK_MULTI_DROP,81.83,10.75
32,DUAL_PICK_MULTI_DROP,95.73,12.37
33,DUAL_PICK_MULTI_DROP,38.06,5.63
34,DUAL_PICK_MULTI_DROP,81.92,10.76
35,DUAL_PICK_MULTI_DROP,58.41,8.01
36,DUAL_PICK_MULTI_DROP,66.21,8.92
37,DUAL_PICK_MULTI_DROP,29.19,4.59
38,DUAL_PICK_MULTI_DROP,52.39,7.30
39,DUAL_PICK_MULTI_DROP,79.41,10.46
40,DUAL_PICK_MULTI_DROP,58.84,8.06
41,DUAL_PICK_MULTI_DROP,50.90,7.13
42,DUAL_PICK_MULTI_DROP,118.68,15.05
43,DUAL_PICK_MULTI_DROP,106.06,13.58
44,DUAL_PICK_MULTI_DROP,80.36,10.57
45,DUAL_PICK_MULTI_DROP,52.40,7.31
46,DUAL_PICK_MULTI_DROP,42.41,6.14
47,DUAL_PICK_MULTI_DROP,26.61,4.29
48,DUAL_PICK_MULTI_DROP,57.51,7.90
49,DUAL_PICK_MULTI_DROP,74.82,9.93
50,DUAL_PICK_MULTI_DROP,69.96,9.36
51,MULTI_PICK_DROP,62.01,8.89
52,MULTI_PICK_DROP,58.27,8.00
53,MULTI_PICK_DROP,45.66,6.88
54,MULTI_PICK_DROP,62.45,8.86
55,MULTI_PICK_DROP,76.86,10.23
56,MULTI_PICK_DROP,48.93,7.29
57,MULTI_PICK_DROP,30.67,4.96
58,MULTI_PICK_DROP,38.09,5.45
59,MULTI_PICK_DROP,64.73,8.75
60,MULTI_PICK_DROP,54.81,7.93
61,MULTI_PICK_DROP,100.03,13.07
62,MULTI_PICK_DROP,39.69,5.60
63,MULTI_PICK_DROP,63.39,8.48
64,MULTI_PICK_DROP,64.16,8.55
65,MULTI_PICK_DROP,51.99,7.19
66,MULTI_PICK_DROP,83.13,11.22
67,MULTI_PICK_DROP,35.02,5.27
68,MULTI_PICK_DROP,37.05,5.39
69,MULTI_PICK_DROP,51.85,7.32
70,MULTI_PICK_DROP,76.66,10.40
