task_id,task_type,makespan_s,energy_wh
1,PICK_DROP,20.00,2.87
2,PICK_DROP,24.00,3.34
3,PICK_DROP,24.10,3.35
4,PICK_DROP,37.94,4.97
5,PICK_DROP,35.25,4.65
6,PICK_DROP,12.00,1.93
7,PICK_DROP,28.45,3.86
8,PICK_DROP,38.54,5.04
9,PICK_DROP,20.00,2.87
10,PICK_DROP,19.20,2.78
11,PICK_DROP,36.00,4.74
12,PICK_DROP,34.67,4.59
13,PICK_DROP,20.00,2.87
14,PICK_DROP,16.00,2.40
15,PICK_DROP,16.00,2.40
16,PICK_DROP,16.72,2.49
17,PICK_DROP,24.95,3.45
18,PICK_DROP,16.00,2.40
19,PICK_DROP,20.09,2.88
20,PICK_DROP,16.00,2.40
21,PICK_DROP,40.58,5.27
22,PICK_DROP,12.49,1.99
23,PICK_DROP,19.53,2.82
24,PICK_DROP,13.66,2.13
25,PICK_DROP,43.94,5.67
26,PICK_DROP,37.26,4.89
27,PICK_DROP,40.37,5.25
28,PICK_DROP,33.44,4.44
29,PICK_DROP,30.59,4.11
30,PICK_DROP,21.55,3.05
31,DUAL_PICK_MULTI_DROP,82.16,10.78
32,DUAL_PICK_MULTI_DROP,87.29,11.38
33,DUAL_PICK_MULTI_DROP,34.26,5.19
34,DUAL_PICK_MULTI_DROP,78.83,10.40
35,DUAL_PICK_MULTI_DROP,56.27,7.76
36,DUAL_PICK_MULTI_DROP,66.05,8.90
37,DUAL_PICK_MULTI_DROP,29.19,4.59
38,DUAL_PICK_MULTI_DROP,51.37,7.19
39,DUAL_PICK_MULTI_DROP,78.77,10.39
40,DUAL_PICK_MULTI_DROP,58.97,8.07
41,DUAL_PICK_MULTI_DROP,49.72,6.99
42,DUAL_PICK_MULTI_DROP,118.32,15.01
43,DUAL_PICK_MULTI_DROP,106.18,13.59
44,DUAL_PICK_MULTI_DROP,79.81,10.51
45,DUAL_PICK_MULTI_DROP,52.40,7.31
46,DUAL_PICK_MULTI_DROP,41.12,5.99
47,DUAL_PICK_MULTI_DROP,23.63,3.94
48,DUAL_PICK_MULTI_DROP,57.57,7.91
49,DUAL_PICK_MULTI_DROP,73.09,9.72
50,DUAL_PICK_MULTI_DROP,68.11,9.14
51,MULTI_PICK_DROP,60.43,8.73
52,MULTI_PICK_DROP,58.12,7.98
53,MULTI_PICK_DROP,43.45,6.59
54,MULTI_PICK_DROP,59.58,8.48
55,MULTI_PICK_DROP,73.32,9.87
56,MULTI_PICK_DROP,38.56,5.93
57,MULTI_PICK_DROP,30.68,4.96
58,MULTI_PICK_DROP,37.93,5.43
59,MULTI_PICK_DROP,62.57,8.48
60,MULTI_PICK_DROP,55.19,7.98
61,MULTI_PICK_DROP,93.77,12.34
62,MULTI_PICK_DROP,39.69,5.60
63,MULTI_PICK_DROP,60.11,8.05
64,MULTI_PICK_DROP,64.07,8.54
65,MULTI_PICK_DROP,52.01,7.19
66,MULTI_PICK_DROP,73.14,10.19
67,MULTI_PICK_DROP,34.49,5.20
68,MULTI_PICK_DROP,35.51,5.23
69,MULTI_PICK_DROP,46.59,6.70
70,MULTI_PICK_DROP,74.73,10.15
