robot_id,strategy,order,task_id,task_type,picks,drops,pick_wait_s,drop_wait_s,charge_duration_s
tb1,optimized,1,49,DUAL_PICK_MULTI_DROP,"[(-2.15, -1.2), (1.25, 6.3)]","[(1.25, 6.3), (-2.15, -1.2)]",1.50,2.00,0.00
tb1,optimized,2,-1,CHARGE,"[(0.0, -6.0)]","[(0.0, -6.0)]",0.00,0.00,91.94
tb1,optimized,3,34,DUAL_PICK_MULTI_DROP,"[(3.9, -8.2), (-1.45, -1.0)]","[(-1.45, -1.0), (3.9, -8.2)]",1.50,2.00,0.00
tb1,optimized,4,28,PICK_DROP,"[(-6.15, 2.4)]","[(-2.55, -4.0)]",2.00,2.00,0.00
tb1,optimized,5,-1,CHARGE,"[(0.0, -6.0)]","[(0.0, -6.0)]",0.00,0.00,180.98
tb1,optimized,6,18,PICK_DROP,"[(1.5, -1.0)]","[(1.5, -4.0)]",2.00,2.00,0.00
tb1,optimized,7,11,PICK_DROP,"[(-3.0, -7.0)]","[(-3.0, 1.0)]",2.00,2.00,0.00
tb1,optimized,8,10,PICK_DROP,"[(5.0, -5.0)]","[(5.0, -8.8)]",2.00,2.00,0.00
tb1,optimized,9,38,DUAL_PICK_MULTI_DROP,"[(1.55, -6.15), (-3.95, -5.6)]","[(-3.95, -5.6), (1.55, -6.15)]",1.50,2.00,0.00
tb1,optimized,10,30,PICK_DROP,"[(0.0, 5.1)]","[(-4.35, 4.7)]",2.00,2.00,0.00
tb1,optimized,11,-1,CHARGE,"[(0.0, 4.0)]","[(0.0, 4.0)]",0.00,0.00,294.26
tb1,optimized,12,25,PICK_DROP,"[(-4.1, -5.35)]","[(0.55, 3.45)]",2.00,2.00,0.00
tb1,optimized,13,-1,CHARGE,"[(0.0, 4.0)]","[(0.0, 4.0)]",0.00,0.00,76.18
tb1,optimized,14,43,DUAL_PICK_MULTI_DROP,"[(-3.9, -6.5), (-3.4, 5.85)]","[(-3.4, 5.85), (-3.9, -6.5)]",1.50,2.00,0.00
tb1,optimized,15,31,DUAL_PICK_MULTI_DROP,"[(-0.35, -3.95), (0.45, 5.35)]","[(0.45, 5.35), (-0.35, -3.95)]",1.50,2.00,0.00
tb1,optimized,16,19,PICK_DROP,"[(1.5, -5.0)]","[(1.5, -9.0)]",2.00,2.00,0.00
tb2,optimized,1,22,PICK_DROP,"[(-0.3, -2.2)]","[(-2.25, -3.0)]",2.00,2.00,0.00
tb2,optimized,2,44,DUAL_PICK_MULTI_DROP,"[(-3.4, -8.6), (-4.9, 0.35)]","[(-4.9, 0.35), (-3.4, -8.6)]",1.50,2.00,0.00
tb2,optimized,3,-1,CHARGE,"[(0.0, -6.0)]","[(0.0, -6.0)]",0.00,0.00,140.45
tb2,optimized,4,46,DUAL_PICK_MULTI_DROP,"[(-3.45, 0.3), (0.65, 1.4)]","[(0.65, 1.4), (-3.45, 0.3)]",1.50,2.00,0.00
tb2,optimized,5,-1,CHARGE,"[(0.0, 4.0)]","[(0.0, 4.0)]",0.00,0.00,72.80
tb2,optimized,6,2,PICK_DROP,"[(3.0, 1.0)]","[(3.0, -4.0)]",2.00,2.00,0.00
tb2,optimized,7,26,PICK_DROP,"[(-3.55, 0.25)]","[(-4.15, -8.0)]",2.00,2.00,0.00
